ALBACETE	ALBACETE	ALBACETE	2080	POLIGONO_Nº_71._PARCELA_678._PARAJE_HONDO_DE_LA_MORENA_S/N._S/N	D	-1823639	38969361	1179			1299		1099	1179		CEPSA
ALBACETE	ALCADOZO	ALCADOZO	2124	CM-3203_km_41.9	I	-1978917	38646833	1229					1149	1199	799	CEPSA
ALBACETE	ALCALÁ_DEL_JÚCAR	ALCALA_DEL_JUCAR	2210	CARRETERA_CM-3201_47.1_KM._47.1	D	-1433222	39203167	1189					1079			EL_JUCAR
ALBACETE	ALCARAZ	ALCARAZ	2300	CR_N-322_276.5	D	-2492222	38673111	1189			1299		1089	1139		CAMPSA
ALBACETE	ALCARAZ	JARDIN_(EL)	2330	CARRETERA_322_KM._302	I	-2327639	38808528	1179		1219			1089	1139		REPSOL
ALBACETE	ALMANSA	ALMANSA	2640	CL_AVDA._DE_AYORA._S.N._A	D	-1100528	38874583	1189			1329		1109	1189		REPSOL
ALBACETE	ALMANSA	ALMANSA	2640	AUTOVIA_A-31_KM._140	D	-117575	38875028	1169			1309		1089	1169		SHELL
ALBACETE	ALMANSA	ALMANSA	2640	AVENIDA_MADRID._11	N	-1108	38871556	1194		1254			1115	1175		CEPSA
ALBACETE	ALMANSA	ALMANSA	2640	AUTOVIA_A-31_KM._143.350	I	-1143722	38878278	1194			1319		1119	1179		CEPSA
ALBACETE	ALMANSA	ALMANSA	2640	AVENIDA_CIRCUNVALACION._26	N	-108475	38859944	1194		1254			1115	1175		CEPSA
ALBACETE	ALMANSA	ALMANSA	2640	AVENIDA_CIRCUNVALACION._9	N	-1098889	38879167	1194			1319		1115	1175		CEPSA
ALBACETE	ALMANSA	ALMANSA	2640	CALLE_INFANTE_DON_JUAN_MANUEL._4	D	-110125	38874583	1129					1029			QUALITY_ALMANSA
ALBACETE	ALMANSA	ALMANSA	2640	AVENIDA_CIRCUNVALACION._17	N	-1089278	38874083						1019			GASÓLEOS_S._ALMANSA
ALBACETE	ALMANSA	ALMANSA	2640	CARRETERA_N-430_BADAJOZ_A_VALENCIA_KM._594	D	-1027694	38850278	1119					1019		639	GASOLINERA_LOW_COST_PENADES
ALBACETE	ALPERA	ALPERA	2690	BONETE._S/Nº	N	-1236552	38958875	1039					969		548	COOPERATIVA_SANTA_CRUZ_DE_ALPERA
ALBACETE	BALAZOTE	BALAZOTE	2320	N-322_km_326.2	D	-2150639	38878028	1159					1069		765	E.S._BALAZOTE_S.L.
ALBACETE	BARRAX	BARRAX	2639	CALLE_ALBACETE._57	I	-2195139	39043139	1159					1069		0.81	E.S._BARRAX_S.L.
ALBACETE	BONETE	BONETE	2691	CR_N-430._566.3	I	-1331611	38876111	1209			1309		1119	1169		REPSOL
ALBACETE	BONETE	BONETE	2691	AUTOVIA_A-31_KM._126	D	-13315	38875861	1209			1309		1119	1169		REPSOL
ALBACETE	BONILLO_(EL)	BONILLO_(EL)	2610	CALLE_CARRETERA_MUNERA._2	D	-2535056	38953361	1189			1289		1099	1169	791	REPSOL
ALBACETE	CASAS_DE_JUAN_NÚÑEZ	CASAS_DE_JUAN_NUÑEZ	2151	AVDA._ALBACETE._33	D	-1560857	39100792	1169					1088		0.52	GASOLINERAS_DEL_REY
ALBACETE	CASAS-IBÁÑEZ	CASAS-IBAÑEZ	2200	CARRETERA_ALBACETE_KM._94	I	-1477806	39283944	1209			1329		1099	1159	679	CEPSA
ALBACETE	CAUDETE	CAUDETE	2660	AUTOVIA_A-31_KM._172	D	-933861	38721917	1209			1351		1089	1179		BP_OIL
ALBACETE	CAUDETE	CAUDETE	2660	CR_N-330._71.4	I	-955833	38756417	1209			1309		1119	1169	773	REPSOL
ALBACETE	CAUDETE	CAUDETE	2660	CARRETERA_D-12_ESTACION_KM._32	D	-971639	38711694	1129					1009		639	VILA_Y_FAYOS_
ALBACETE	CAUDETE	CAUDETE	2660	CARRETERA_N-344_KM._114.500	I	-974778	38710861						1004		634	TRANSPORTES_CAUDETE
ALBACETE	CAUDETE	CAUDETE	2660	CR_N-344_DIRC.VALENCIA._KM.__118.3	N	-943	38727472	1229			1371		1099	1189		BP_PARGA_I_PETROL_BAS_BEL
ALBACETE	CAUDETE	CAUDETE	2660	AVENIDA_VALENCIA_DE._16	N	-982111	38708944	1209			1351		1089	1149		GALP
ALBACETE	CHINCHILLA_DE_MONTE-ARAGÓN	CHINCHILLA_DE_MONTE-ARAGO	2520	AUTOVIA_A-31_KM._86	D	-1758	38937583	1219			1343		1139	1209		REPSOL
ALBACETE	CHINCHILLA_DE_MONTE-ARAGÓN	CHINCHILLA_DE_MONTE-ARAGO	2520	AUTOVIA_A-31_KM._86	I	-1757611	38938611	1219			1343		1139	1209		REPSOL
ALBACETE	CHINCHILLA_DE_MONTE-ARAGÓN	CHINCHILLA_DE_MONTE-ARAGO	2520	Ctra._AB-430_KM_530.3	I	-1726278	38915972	1219			1319		1139	1209		REPSOL
ALBACETE	CHINCHILLA_DE_MONTE-ARAGÓN	POZO_BUENO	2510	CL_AVENIDA_GENERALISIMO_107_(N-301_km_276)	I	-1731861	38803389	1215			1339		1139	1189		REPSOL
ALBACETE	CHINCHILLA_DE_MONTE-ARAGÓN	VILLAR_DE_CHINCHILLA	2695	AUTOVIA_A31_KM._111	N	-1502806	38898306	1219			1369		1119	1189		CEPSA
ALBACETE	ELCHE_DE_LA_SIERRA	ELCHE_DE_LA_SIERRA	2430	CL_BOLEA._36_(CM-412_km_235.65)	D	-2044778	38451306	1209			1319		1129	1209	825	CAMPSA
